hundename,geburtsjahr_hund,geschlecht_hund
"Basil",2017,"m"
"Basil",2006,"m"
"Basil",2007,"m"
"Basil",2009,"m"
"Basil (Best)",2006,"m"
"Basko",2017,"m"
"Basko",2016,"m"
"Baslis Hermes vom Moosacher",2011,"m"
"Bass",2011,"m"
"Basti",2007,"m"
"Bastille",2002,"w"
"Batman",2013,"m"
"Bator",2009,"m"
"Batuuli",2017,"m"
"Bay",2017,"m"
"Bay",2016,"w"
"Bay",2006,"w"
"Baylis",2010,"m"
"Bea",2009,"w"
"Bea Bea",2011,"w"
"Bean",2016,"m"
"Bear",2015,"m"
"Bearly v. Weinhäusel",2013,"w"
"Beatle",2015,"m"
"Beau",2009,"m"
"Beauty Angel (Ava)",2017,"w"
"Beauté",2012,"w"
"Beeny",2015,"w"
"Beethoven",2007,"m"
"Beetle (Nebu)",2011,"m"
"Beija",2013,"w"
"Beiko",2009,"m"
"Bekas",2011,"m"
"Bel Ami",2005,"m"
"Bela",2016,"m"
"Belette",2006,"w"
"Belinda",2014,"w"
"Belinha",2011,"w"
"Belka",2014,"w"
"Bella",2011,"w"
"Bella",2017,"w"
"Bella",2017,"w"
"Bella",2017,"w"
"Bella",2011,"w"
"Bella",2009,"w"
"Bella",2014,"w"
"Bella",2017,"w"
"Bella",2013,"w"
"Bella",2013,"w"
"Bella",2008,"w"
"Bella",2015,"w"
"Bella",2015,"w"
"Bella",2011,"w"
"Bella",2014,"w"
"Bella",2014,"w"
"Bella",2010,"w"
"Bella",2014,"w"
"Bella",2010,"w"
"Bella",2015,"w"
"Bella",2013,"w"
"Bella",2010,"w"
"Bella",2012,"w"
"Bella",2013,"w"
"Bella",2007,"w"
"Bella",2013,"w"
"Bella",2011,"w"
"Bella",2009,"w"
"Bella (Bubu)",2014,"w"
"Bella mia",2014,"w"
"Belle",2017,"w"
"Belli",2014,"m"
"Bellino",2012,"m"
"Bello",2016,"m"
"Bello",2014,"m"
"Bello",2015,"m"
"Bello Erole",2007,"m"
"Beloved Rascy",2012,"m"
"Beltane Bakari ",2016,"w"
"Belucca",2004,"w"
"Beluga",2012,"w"
"Ben",2007,"m"
"Ben",2014,"m"
"Ben",2012,"m"
"Benben",2014,"m"
"Benfica",2014,"m"
"Bengale",2010,"w"
"Beni",2009,"m"
"Beni",2013,"w"
"Beni",2010,"m"
"Benicia",2006,"w"
"Benii Ken's Daitoshi",2014,"m"
"Benito",2012,"m"
"Beniy (Tofik)",2009,"m"
"Benja",2009,"w"
"Benjamin",2012,"m"
"Benjamin Prinz",2017,"m"
"Benji",2006,"m"
"Benji",2004,"m"
"Benji",2005,"m"
"Benji",2004,"m"
"Benji",2002,"m"
"Benji",1996,"m"
"Benji",2016,"m"
"Benji",2011,"m"
"Benji",2011,"m"
"Benji",2013,"m"
"Benji",2015,"m"
"Benji",2010,"m"
"Benji  (Boucuk)",2006,"m"
"Benji (Baladeva)",2008,"m"
"Benjy",2014,"m"
"Benn",2013,"m"
"Benni",2009,"m"
"Benno",2009,"m"
"Benno",2012,"m"
"Benno",2014,"m"
"Benny",2005,"m"
"Benny",2012,"m"
"Benschi",2009,"w"
"Benschi",2016,"m"
"Bentley",2017,"w"
"Bentley",2017,"m"
"Bentley",2016,"m"
"Bentley (Mozquito)",2008,"m"
"Bentley vom schweizer Herz",2015,"m"
"Beny",2006,"m"
"Beppo",2008,"m"
"Berdus",2004,"m"
"Berenice v. Happy Morning Star",2008,"w"
"Bero",2006,"m"
"Berri",2010,"m"
"Berry",2014,"w"
"Bert",2016,"m"
"Bertie",2012,"m"
"Bertie",2016,"m"
"Bertil",2008,"m"
"Beryll (Mithras)",2008,"w"
"Bess",2010,"w"
"Bessy",2008,"w"
"Bessy",2008,"w"
"Beta",2017,"w"
"Beti",2011,"w"
"Betsy",2015,"w"
"Betta",2012,"w"
"Betty",2010,"w"
"Betty",2015,"w"
"Betty",2004,"w"
"Betty",2012,"w"
"Betty",2012,"w"
"Betty",2012,"w"
"Betty-Fibi von der Landruh",2017,"w"
"Beule",2005,"m"
"Beverly",2005,"w"
"Bhanu",2014,"m"
"Bia",2016,"w"
"Bianca",2012,"w"
"Bianca",2007,"w"
"Bianca",2016,"w"
"Bianca",2015,"w"
"Bianca",2012,"w"
"Biba June",2015,"w"
"Bibi",2007,"w"
"Bibi",2013,"w"
"Bibi",2011,"w"
"Bibi Girl Jilli",2012,"w"
"Bica",2011,"w"
"Bica",2017,"w"
"Bicco",2016,"m"
"Bida",2008,"w"
"Biddo",2013,"m"
"Bienchen",2003,"w"
"Big",2014,"w"
"Bigna",2012,"w"
"Bijou",2013,"w"
"Bijou",2014,"w"
"Bijou",2012,"w"
"Bijoux",2013,"w"
"Bijoux",2005,"w"
"Bijoux-Ronnie",2009,"m"
"Bilbo Potter Bulini",2015,"m"
"Bilboul",2014,"m"
"Bilko",2016,"m"
"Bill (Cougard)",2007,"m"
"Billabong",2012,"m"
"Billabong von Safien",2006,"w"
"Billi",2013,"w"
"Billi",2005,"m"
"Billie",2012,"m"
"Billie",2013,"w"
"Billie",2015,"w"
"Billy",2005,"m"
"Billy",2006,"m"
"Billy",2003,"m"
"Billy",2014,"m"
"Billy",2016,"m"
"Billy",2011,"m"
"Billy",2006,"m"
"Billy Bär Kyuss",2011,"w"
"Billy-Lulu",2015,"m"
"Bimbo",2002,"m"
"Bina",2011,"w"
"Bingo",2013,"m"
"Bingo",2003,"m"
"Bion Blues",2013,"m"
"Biondo",2012,"m"
"Biranda",2014,"w"
"Birba",2007,"w"
"Birba",2004,"w"
"Birba (Queudolin)",2008,"w"
"Birbi",2006,"w"
"Bircan du bosquet des muguets",2015,"m"
"Birdy",2011,"m"
"Birillo",2008,"m"
"Birla (Herder little Devil's)",2016,"w"
"Biscotto (Astra)",2016,"w"
"Bisou",2010,"w"
"Bisou",2009,"m"
"Bistuall Melodie d'Amour",2009,"w"
"Bize",2005,"m"
"Bizou",2012,"w"
"Bizzy",2006,"w"
"Black",2010,"w"
"Black Hamlet B For Blueberry H",2014,"m"
"Black Pearl",2016,"w"
"Black Shadow",2010,"m"
"Blacky",2007,"m"
"Blacky",2015,"m"
"Blacky",2006,"m"
"Blacky",2003,"m"
"Blacky",2006,"m"
"Blacky",2011,"m"
"Blacky",2013,"m"
"Blacky",2012,"m"
"Blacky",2014,"m"
"Blacky",2014,"m"
"Blacky",2015,"w"
"Blacky",2014,"m"
"Blacky",2016,"m"
"Blacky (Leda)",2013,"w"
"Blacky Emil vom Allgäu Land",2017,"m"
"Blake",2012,"m"
"Blake",2015,"m"
"Blake",2007,"m"
"Blanca",2015,"w"
"Blanca",2007,"w"
"Blanco",2006,"m"
"Blazing Sun Kylie",2012,"w"
"Bless",2016,"w"
"Bleyd Nox",2015,"m"
"Bliss",2016,"m"
"Blizzard",2014,"m"
"Blizzard of Water Valley",2015,"m"
"Blondie",2013,"w"
"Blubär",2016,"w"
"Blue",2008,"m"
"Blue",2013,"w"
"Blue",2013,"m"
"Blue",2012,"m"
"Blue",2016,"w"
"Blue Cheese",2017,"w"
"Blue Jewel's Art",2012,"m"
"Blue Sky",2014,"w"
