HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Bond vom Köppembusch",2011,"m"
"Boney",2015,"m"
"Bongio",2010,"m"
"Bongo",2013,"m"
"Bongo",2012,"m"
"Bongo (Dingo)",2007,"m"
"Boni",2007,"w"
"Bonita",2010,"w"
"Bonita",2010,"w"
"Bonita",2006,"w"
"Bonita",2004,"w"
"Bonita",2015,"w"
"Bonita",2016,"w"
"Bonita",2007,"w"
"Bonita",2003,"w"
"Bonita v Buchegg",2014,"w"
"Bonito",2014,"m"
"Bonitta",2004,"w"
"Bonnetime",2012,"m"
"Bonni of Clermont",2014,"m"
"Bonnie",2014,"w"
"Bonnie",2015,"w"
"Bonnie",2014,"w"
"Bonnie",2010,"w"
"Bonnie",2007,"w"
"Bonnie",2016,"w"
"Bonnie Bonita",2010,"w"
"Bonnie (Kremmi)",2010,"w"
"Bonny",2002,"w"
"Bonny",2016,"w"
"Bonny",2004,"w"
"Bonny",2005,"w"
"Bonny",2010,"w"
"Bono",2016,"m"
"Bono",2008,"m"
"Bono",2012,"m"
"Bono",2006,"m"
"Bono",2007,"m"
"Bono",2006,"m"
"Bonsai",2008,"w"
"Bonsai",2007,"m"
"Bonsai von den Glückspfoten",2011,"m"
"Bony",2003,"w"
"Boo",2016,"m"
"Boo",2013,"m"
"Boo",2004,"w"
"Boofy",2011,"m"
"Boogy",2012,"m"
"Boomer",2014,"m"
"Boomer",2009,"m"
"Bootsmann Bombolo II",2008,"m"
"Bootsy",2008,"m"
"Born in the USA Brynn",2012,"w"
"Borre",2015,"m"
"Bosco",2005,"m"
"Bosco",2010,"m"
"Bosko",2010,"m"
"Boss",2016,"m"
"Boss",2015,"m"
"Boss",2000,"m"
"Boston",2015,"m"
"Boszi",2013,"w"
"Boubou",2005,"m"
"Boubou",2009,"m"
"Boubou",2002,"m"
"Boulie",2011,"w"
"Bout de Chou",2009,"m"
"Bowie",2015,"m"
"Bowie",2013,"m"
"Bowie",2016,"m"
"Boy",2016,"m"
"Bradley",2010,"m"
"Brady",2015,"m"
"Brahms ""Brando""",2006,"m"
"Branca",2010,"w"
"Branco",2014,"m"
"Brando",2007,"m"
"Brandy",2013,"m"
"Brandy",2006,"m"
"Brauni",2014,"w"
"Bravo",2007,"m"
"Brembo",2010,"m"
"Brenda (Aurora)",2008,"w"
"Brenda de Socrettaz (Suki)",2005,"w"
"Brian",2007,"m"
"Briar Hill's Kimmy",2007,"m"
"Briciola",2003,"w"
"Briciola",2002,"w"
"Briciola",2006,"w"
"Bridget",2003,"w"
"Brio",2007,"m"
"Briscilla",2012,"w"
"Britney",2014,"w"
"Britta",2010,"w"
"Britta",2005,"w"
"Britto Nina",2016,"w"
"Bro",2012,"m"
"Broccoli",2005,"m"
"Brok",2010,"m"
"Bronx (Sirco)",2005,"m"
"Brownie",2016,"m"
"Brownie",2011,"m"
"Brownie",2013,"m"
"Browny",2009,"m"
"Bruce",2007,"m"
"Bruce (Tysson)",2011,"m"
"Bruce (Wels Fargo)",2009,"m"
"Brumi",2004,"m"
"Brünett",2015,"w"
"Bruno",2015,"m"
"Bruno",2014,"m"
"Bruno",2014,"m"
"Bruno",2014,"m"
"Bruno",2016,"m"
"Bruno (Ramsès)",2016,"m"
"Brutus vom goldenen Kelsch",2011,"m"
"Bryn",2009,"w"
"B'sai",2005,"w"
"Bubi",2004,"m"
"Bubi",2015,"m"
"Bubi",2011,"m"
"Bubi",2006,"m"
"Bubi-Verni",2008,"m"
"Bublik",2005,"m"
"Bubu",2005,"m"
"Bubu",2009,"m"
"Bubu",2014,"m"
"Bubu",2008,"m"
"Bubu",2011,"w"
"Bucca",2007,"w"
"Buccio",2012,"m"
"Buchica",2005,"w"
"Bucho",2010,"m"
"Buco",2010,"m"
"Buddy",2013,"m"
"Buddy",2011,"m"
"Buddy",2001,"m"
"Buddy",2007,"m"
"Buddy",2014,"m"
"Buddy",2013,"m"
"Buddy",2015,"m"
"Buddy",2007,"m"
"Buddy",2016,"m"
"Buddy",2016,"m"
"Buddy",2016,"m"
"Buddy",2016,"m"
"Buddy",2000,"m"
